gid,year,m_20g_pop,w_20g_pop,m_30g_pop,w_30g_pop,m_40g_pop,w_40g_pop,m_50g_pop,w_50g_pop,m_60g_pop,w_60g_pop,m_70g_pop,w_70g_pop,m_80g_pop,w_80g_pop,m_90g_pop,w_90g_pop,m_100g_pop,w_100g_pop
다사469469,2023,14.0,12.0,30.0,36.0,40.0,31.0,30.0,29.0,20.0,23.0,12.0,19.0,6.0,8.0,,0.0,,
다사466473,2023,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
다사479468,2023,22.0,27.0,21.0,19.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
다사471472,2023,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
다사478439,2023,8.0,15.0,10.0,0.0,0.0,0.0,6.0,6.0,6.0,,0.0,0.0,,0.0,,,,
다사480444,2023,34.0,32.0,55.0,47.0,32.0,40.0,51.0,66.0,50.0,57.0,24.0,31.0,12.0,16.0,0.0,0.0,,
다사502470,2023,37.0,20.0,38.0,45.0,55.0,63.0,40.0,51.0,23.0,32.0,15.0,26.0,0.0,22.0,0.0,0.0,,
다사470447,2023,50.0,36.0,34.0,26.0,20.0,19.0,42.0,49.0,40.0,28.0,15.0,22.0,11.0,9.0,0.0,0.0,,0.0
다사473471,2023,20.0,26.0,37.0,39.0,10.0,11.0,25.0,15.0,16.0,0.0,6.0,8.0,6.0,8.0,,,,
다사454468,2023,38.0,28.0,49.0,60.0,71.0,56.0,56.0,62.0,46.0,52.0,23.0,25.0,19.0,21.0,0.0,7.0,,
다사453473,2023,11.0,19.0,23.0,21.0,18.0,22.0,19.0,19.0,0.0,14.0,12.0,7.0,8.0,7.0,0.0,,,
다사503471,2023,17.0,18.0,56.0,57.0,41.0,50.0,34.0,33.0,17.0,33.0,19.0,27.0,0.0,7.0,0.0,0.0,,
다사468469,2023,,,,,,,0.0,,,,,,,,,,,
다사478452,2023,25.0,25.0,20.0,19.0,43.0,43.0,25.0,34.0,22.0,14.0,6.0,12.0,0.0,0.0,,,,
다사469447,2023,29.0,18.0,26.0,13.0,19.0,19.0,33.0,39.0,42.0,35.0,14.0,22.0,9.0,8.0,0.0,0.0,,
다사487450,2023,37.0,35.0,27.0,24.0,40.0,43.0,47.0,40.0,18.0,25.0,8.0,0.0,0.0,7.0,,0.0,,
다사476448,2023,16.0,8.0,13.0,13.0,12.0,15.0,15.0,11.0,25.0,26.0,8.0,9.0,0.0,10.0,0.0,0.0,,
다사480466,2023,43.0,90.0,133.0,134.0,31.0,33.0,14.0,13.0,11.0,0.0,0.0,0.0,,0.0,0.0,,,
다사466437,2023,15.0,0.0,8.0,0.0,12.0,10.0,22.0,16.0,14.0,20.0,12.0,23.0,10.0,10.0,,0.0,,0.0
다사465446,2023,0.0,11.0,9.0,8.0,7.0,6.0,10.0,6.0,0.0,8.0,0.0,0.0,,0.0,,,,
다사468449,2023,20.0,25.0,25.0,16.0,21.0,21.0,34.0,42.0,49.0,37.0,21.0,24.0,7.0,8.0,,0.0,,
다사474476,2023,49.0,132.0,155.0,174.0,63.0,61.0,35.0,21.0,0.0,7.0,0.0,0.0,0.0,,,,,
다사470460,2023,8.0,10.0,20.0,19.0,25.0,20.0,21.0,18.0,12.0,16.0,7.0,10.0,0.0,8.0,0.0,,,
다사463459,2023,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
다사456471,2023,28.0,35.0,78.0,87.0,105.0,109.0,43.0,48.0,26.0,29.0,9.0,8.0,,0.0,,0.0,,
다사475464,2023,0.0,,,,,,,,0.0,0.0,,,,,,,,
다사468465,2023,30.0,19.0,17.0,22.0,24.0,30.0,38.0,42.0,44.0,41.0,24.0,23.0,7.0,10.0,0.0,0.0,,
다사484463,2023,0.0,0.0,9.0,6.0,7.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,,,,
다사496469,2023,,,,,,,,,0.0,,,,,,,,,
다사471441,2023,15.0,10.0,21.0,16.0,17.0,12.0,29.0,25.0,26.0,28.0,9.0,27.0,9.0,19.0,0.0,0.0,,
다사476450,2023,27.0,28.0,36.0,48.0,73.0,89.0,49.0,40.0,35.0,36.0,16.0,14.0,0.0,0.0,,0.0,,
다사460476,2023,10.0,17.0,23.0,30.0,37.0,33.0,21.0,15.0,8.0,12.0,7.0,11.0,0.0,0.0,,,,
다사472447,2023,11.0,15.0,10.0,7.0,13.0,10.0,14.0,14.0,13.0,21.0,9.0,0.0,,0.0,,,,
다사461467,2023,39.0,39.0,13.0,26.0,68.0,61.0,53.0,66.0,38.0,42.0,36.0,39.0,13.0,12.0,0.0,0.0,,
다사462462,2023,10.0,6.0,15.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
다사485463,2023,28.0,46.0,53.0,65.0,13.0,20.0,11.0,10.0,9.0,6.0,0.0,0.0,0.0,0.0,,,,
다사467473,2023,24.0,46.0,45.0,41.0,18.0,8.0,24.0,20.0,22.0,31.0,16.0,14.0,8.0,16.0,,0.0,,0.0
다사471456,2023,18.0,12.0,22.0,16.0,31.0,23.0,38.0,22.0,32.0,32.0,20.0,28.0,8.0,19.0,,0.0,,
다사485444,2023,25.0,32.0,36.0,54.0,15.0,15.0,16.0,25.0,27.0,27.0,7.0,7.0,0.0,0.0,0.0,0.0,,
다사476467,2023,56.0,69.0,92.0,56.0,28.0,8.0,30.0,8.0,24.0,0.0,0.0,0.0,,,0.0,,,
다사498471,2023,21.0,19.0,31.0,50.0,46.0,46.0,41.0,37.0,23.0,34.0,14.0,22.0,0.0,0.0,,8.0,,
다사455471,2023,21.0,23.0,77.0,75.0,60.0,42.0,43.0,41.0,17.0,27.0,10.0,15.0,6.0,12.0,0.0,0.0,,
다사488480,2023,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,
다사460462,2023,46.0,36.0,55.0,57.0,66.0,65.0,69.0,63.0,54.0,63.0,44.0,40.0,13.0,21.0,0.0,0.0,,
다사497473,2023,10.0,15.0,26.0,36.0,33.0,25.0,25.0,24.0,13.0,14.0,8.0,17.0,0.0,6.0,,,,
다사484465,2023,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,,,,
다사497470,2023,,0.0,,,,,,,,,,,,,,,,
다사474433,2023,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,
다사463482,2023,49.0,31.0,53.0,62.0,48.0,54.0,65.0,66.0,37.0,30.0,8.0,23.0,8.0,8.0,0.0,0.0,,
다사482444,2023,30.0,33.0,27.0,33.0,26.0,27.0,21.0,34.0,33.0,34.0,13.0,13.0,6.0,12.0,0.0,,,
다사473432,2023,0.0,0.0,13.0,7.0,10.0,0.0,8.0,6.0,8.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,,
다사475460,2023,13.0,13.0,23.0,11.0,14.0,11.0,19.0,19.0,15.0,17.0,9.0,12.0,0.0,7.0,0.0,0.0,,
다사473457,2023,8.0,11.0,13.0,10.0,11.0,7.0,15.0,12.0,17.0,23.0,13.0,11.0,10.0,7.0,0.0,0.0,,
