plot_lctn,sgg_cd,emd_cd,plot_gbn,bun,ji,bd_rgst_pk,dstrct_gbn_cd,dstrct_gbn_nm,dstrct_cd,dstrct_nm,etc_dstrct_nm,crtn_day
서울특별시 영등포구 영등포동 423-105번지,11560,10100,0,423,105,11560-2300,1,용도지역코드,1120,일반상업지역,일반상업지역,20200114
서울특별시 영등포구 영등포동 423-105번지,11560,10100,0,423,105,11560-2300,2,용도지구코드,101,중심지미관지구,중심지미관지구,20200114
서울특별시 영등포구 영등포동 423-19번지,11560,10100,0,423,19,11560-2281,1,용도지역코드,1120,일반상업지역,일반상업지역,20220822
서울특별시 영등포구 영등포동 423-19번지,11560,10100,0,423,19,11560-2281,2,용도지구코드,,,미관2종,20220822
서울특별시 영등포구 영등포동 423-37번지,11560,10100,0,423,37,11560-2290,3,용도구역코드,301,제1종지구단위계획구역,제1종지구단위계획구역,20190530
서울특별시 영등포구 영등포동 423-37번지,11560,10100,0,423,37,11560-2290,1,용도지역코드,1120,일반상업지역,일반상업지역,20190530
서울특별시 영등포구 영등포동 567-7번지,11560,10100,0,567,7,11560-2338,1,용도지역코드,1020,일반주거지역,일반주거지역,20230518
서울특별시 영등포구 영등포동 570-17번지,11560,10100,0,570,17,11560-2353,1,용도지역코드,UQA122,제2종일반주거지역,도시지역/제2종일반주거지역,20171118
서울특별시 영등포구 영등포동 570-4번지,11560,10100,0,570,4,11560-100196335,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20190530
서울특별시 영등포구 영등포동 571-3번지,11560,10100,0,571,3,11560-2356,1,용도지역코드,1020,일반주거지역,일반주거지역,20231006
서울특별시 영등포구 영등포동 571-4번지,11560,10100,0,571,4,11560-2357,1,용도지역코드,UQA001,도시지역,도시지역,20210809
서울특별시 영등포구 영등포동 571-4번지,11560,10100,0,571,4,11560-2357,3,용도구역코드,UOA100,학교환경위생정화구역,학교환경위생정화구역,20210809
서울특별시 영등포구 영등포동 571-4번지,11560,10100,0,571,4,11560-2357,2,용도지구코드,UNE200,대공방어협조구역,대공방어협조구역,20210809
서울특별시 영등포구 영등포동 571-8번지,11560,10100,0,571,8,11560-100203019,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20190530
서울특별시 영등포구 영등포동 571-9번지,11560,10100,0,571,9,11560-2359,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20220825
서울특별시 영등포구 영등포동 572-8번지,11560,10100,0,572,8,11560-2369,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20190405
서울특별시 영등포구 영등포동 572-8번지,11560,10100,0,572,8,11560-2369,2,용도지구코드,,,,20190405
서울특별시 영등포구 영등포동 573-19번지,11560,10100,0,573,19,11560-3170,1,용도지역코드,1020,일반주거지역,일반주거지역,20170209
서울특별시 영등포구 영등포동 575-3번지,11560,10100,0,575,3,11560-100186784,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20190530
서울특별시 영등포구 영등포동 576-12번지,11560,10100,0,576,12,11560-2378,1,용도지역코드,1020,일반주거지역,일반주거지역,20221102
서울특별시 영등포구 영등포동 576-3번지,11560,10100,0,576,3,11560-2375,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20190530
서울특별시 영등포구 영등포동 576-6번지,11560,10100,0,576,6,11560-2376,1,용도지역코드,1020,일반주거지역,일반주거지역,20190410
서울특별시 영등포구 영등포동 576-9번지,11560,10100,0,576,9,11560-2377,1,용도지역코드,1020,일반주거지역,일반주거지역,20170209
서울특별시 영등포구 영등포동 577-26번지,11560,10100,0,577,26,11560-2389,2,용도지구코드,103,일반미관지구,일반미관지구,20220818
서울특별시 영등포구 영등포동 577-26번지,11560,10100,0,577,26,11560-2389,1,용도지역코드,1020,일반주거지역,일반주거지역,20220818
서울특별시 영등포구 영등포동 580-8번지,11560,10100,0,580,8,11560-3173,2,용도지구코드,103,일반미관지구,일반미관지구,20231211
서울특별시 영등포구 영등포동 580-8번지,11560,10100,0,580,8,11560-3173,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20231211
서울특별시 영등포구 영등포동 580-99번지,11560,10100,0,580,99,11560-2408,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20200407
서울특별시 영등포구 영등포동 582-3번지,11560,10100,0,582,3,11560-2413,1,용도지역코드,1230,준공업지역,준공업지역,20171118
서울특별시 영등포구 영등포동 582-3번지,11560,10100,0,582,3,11560-2413,2,용도지구코드,103,일반미관지구,일반미관지구,20171118
서울특별시 영등포구 영등포동 585-25번지,11560,10100,0,585,25,11560-3174,2,용도지구코드,103,일반미관지구,일반미관지구,20190530
서울특별시 영등포구 영등포동 585-25번지,11560,10100,0,585,25,11560-3174,1,용도지역코드,1020,일반주거지역,일반주거지역,20190530
서울특별시 영등포구 영등포동 585-28번지,11560,10100,0,585,28,11560-2419,1,용도지역코드,1020,일반주거지역,일반주거지역,20221121
서울특별시 영등포구 영등포동 585-29번지,11560,10100,0,585,29,11560-2420,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 585-31번지,11560,10100,0,585,31,11560-2421,1,용도지역코드,1020,일반주거지역,일반주거지역,20170408
서울특별시 영등포구 영등포동 585-32번지,11560,10100,0,585,32,11560-2422,1,용도지역코드,1020,일반주거지역,일반주거지역,20180524
서울특별시 영등포구 영등포동 585-37번지,11560,10100,0,585,37,11560-2424,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 592-11번지,11560,10100,0,592,11,11560-1911,1,용도지역코드,1230,준공업지역,준공업지역,20111021
서울특별시 영등포구 영등포동 592-12번지,11560,10100,0,592,12,11560-2435,1,용도지역코드,1020,일반주거지역,일반주거지역,20230703
서울특별시 영등포구 영등포동 592-19번지,11560,10100,0,592,19,11560-2436,1,용도지역코드,1020,일반주거지역,일반주거지역,20170201
서울특별시 영등포구 영등포동 592-1번지,11560,10100,0,592,1,11560-1590,1,용도지역코드,,,준공업지역,20111021
서울특별시 영등포구 영등포동 592-20번지,11560,10100,0,592,20,11560-2438,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20201029
서울특별시 영등포구 영등포동 592-21번지,11560,10100,0,592,21,11560-100232521,1,용도지역코드,UQA001,도시지역,도시지역,20190530
서울특별시 영등포구 영등포동 592-21번지,11560,10100,0,592,21,11560-100232521,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20190530
서울특별시 영등포구 영등포동 592-21번지,11560,10100,0,592,21,11560-100232521,2,용도지구코드,UNE200,대공방어협조구역,대공방어협조구역,20190530
서울특별시 영등포구 영등포동 592-28번지,11560,10100,0,592,28,11560-2445,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 592-29번지,11560,10100,0,592,29,11560-2446,1,용도지역코드,1020,일반주거지역,일반주거지역,20200320
서울특별시 영등포구 영등포동 592-30번지,11560,10100,0,592,30,11560-2447,1,용도지역코드,1020,일반주거지역,일반주거지역,20200929
서울특별시 영등포구 영등포동 592-31번지,11560,10100,0,592,31,11560-2449,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 592-38번지,11560,10100,0,592,38,11560-3176,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 592-42번지,11560,10100,0,592,42,11560-2455,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 592-43번지,11560,10100,0,592,43,11560-2456,1,용도지역코드,1020,일반주거지역,일반주거지역,20170617
서울특별시 영등포구 영등포동 592-44번지,11560,10100,0,592,44,11560-2457,1,용도지역코드,1020,일반주거지역,일반주거지역,20200416
서울특별시 영등포구 영등포동 592-48번지,11560,10100,0,592,48,11560-2460,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 592-4번지,11560,10100,0,592,4,11560-2432,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 592-51번지,11560,10100,0,592,51,11560-2462,1,용도지역코드,1020,일반주거지역,일반주거지역,20170706
서울특별시 영등포구 영등포동 592-58번지,11560,10100,0,592,58,11560-2465,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 592-70번지,11560,10100,0,592,70,11560-2467,1,용도지역코드,1230,준공업지역,준공업지역,20190530
서울특별시 영등포구 영등포동 592-74번지,11560,10100,0,592,74,11560-100233595,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20201207
서울특별시 영등포구 영등포동 602-107번지,11560,10100,0,602,107,11560-2537,2,용도지구코드,,,미관4종지구,20201210
서울특별시 영등포구 영등포동 602-107번지,11560,10100,0,602,107,11560-2537,2,용도지구코드,,,주차장정비지구,20201210
서울특별시 영등포구 영등포동 602-107번지,11560,10100,0,602,107,11560-2537,1,용도지역코드,1020,일반주거지역,일반주거지역,20201210
서울특별시 영등포구 영등포동 602-108번지,11560,10100,0,602,108,11560-2538,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20190214
서울특별시 영등포구 영등포동 602-109번지,11560,10100,0,602,109,11560-100255431,1,용도지역코드,UQA01X,도시지역,도시지역,20191011
서울특별시 영등포구 영등포동 602-109번지,11560,10100,0,602,109,11560-100255431,2,용도지구코드,UQG130,일반미관지구,일반미관지구,20191011
서울특별시 영등포구 영등포동 602-109번지,11560,10100,0,602,109,11560-100255431,2,용도지구코드,UNE200,대공방어협조구역,대공방어협조구역,20191011
서울특별시 영등포구 영등포동 602-109번지,11560,10100,0,602,109,11560-100255431,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20191011
서울특별시 영등포구 영등포동 602-10번지,11560,10100,0,602,10,11560-2481,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20170728
서울특별시 영등포구 영등포동 602-113번지,11560,10100,0,602,113,11560-100200414,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20190530
서울특별시 영등포구 영등포동 602-126번지,11560,10100,0,602,126,11560-2546,2,용도지구코드,103,일반미관지구,일반미관지구,20190530
서울특별시 영등포구 영등포동 602-126번지,11560,10100,0,602,126,11560-2546,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20190530
서울특별시 영등포구 영등포동 602-130번지,11560,10100,0,602,130,11560-2548,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 602-131번지,11560,10100,0,602,131,11560-2549,1,용도지역코드,1020,일반주거지역,일반주거지역,20201017
서울특별시 영등포구 영등포동 602-131번지,11560,10100,0,602,131,11560-2549,2,용도지구코드,,,역사문화미관지구,20201017
서울특별시 영등포구 영등포동 602-135번지,11560,10100,0,602,135,11560-2551,1,용도지역코드,1020,일반주거지역,일반주거지역,20170221
서울특별시 영등포구 영등포동 602-15번지,11560,10100,0,602,15,11560-2485,1,용도지역코드,1020,일반주거지역,일반주거지역,20190308
서울특별시 영등포구 영등포동 602-16번지,11560,10100,0,602,16,11560-100240208,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20180124
서울특별시 영등포구 영등포동 602-19번지,11560,10100,0,602,19,11560-2489,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20170728
서울특별시 영등포구 영등포동 602-20번지,11560,10100,0,602,20,11560-2490,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20170728
서울특별시 영등포구 영등포동 602-23번지,11560,10100,0,602,23,11560-2493,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 602-26번지,11560,10100,0,602,26,11560-2496,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20170728
서울특별시 영등포구 영등포동 602-33번지,11560,10100,0,602,33,11560-2501,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 602-37번지,11560,10100,0,602,37,11560-2503,1,용도지역코드,1020,일반주거지역,일반주거지역,20230213
서울특별시 영등포구 영등포동 602-39번지,11560,10100,0,602,39,11560-2505,2,용도지구코드,,,역사문화미관지구,20170728
서울특별시 영등포구 영등포동 602-39번지,11560,10100,0,602,39,11560-2505,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 602-41번지,11560,10100,0,602,41,11560-2506,2,용도지구코드,,,미관4종지구,20170429
서울특별시 영등포구 영등포동 602-41번지,11560,10100,0,602,41,11560-2506,1,용도지역코드,1020,일반주거지역,일반주거지역,20170429
서울특별시 영등포구 영등포동 602-41번지,11560,10100,0,602,41,11560-2506,2,용도지구코드,,,주차장정비,20170429
