adm_cd,adm_nm,std_ymd,m_pop,fm_pop
1156000000,서울특별시 서울특별시 영등포구 ,202301,"184,840","191,301"
1156051500,서울특별시 영등포구 영등포본동,202301,"10,762","10,233"
1156053500,서울특별시 영등포구 영등포동,202301,"15,409","14,487"
1156054000,서울특별시 영등포구 여의동,202301,"15,248","17,255"
1156055000,서울특별시 영등포구 당산제1동,202301,"10,088","10,643"
1156056000,서울특별시 영등포구 당산제2동,202301,"17,156","19,559"
1156058500,서울특별시 영등포구 도림동,202301,"8,935","8,766"
1156060500,서울특별시 영등포구 문래동,202301,"15,755","16,529"
1156061000,서울특별시 영등포구 양평제1동,202301,"8,889","9,451"
1156062000,서울특별시 영등포구 양평제2동,202301,"10,908","11,467"
1156063000,서울특별시 영등포구 신길제1동,202301,"9,735","9,489"
1156065000,서울특별시 영등포구 신길제3동,202301,"8,055","8,267"
1156066000,서울특별시 영등포구 신길제4동,202301,"6,098","6,197"
1156067000,서울특별시 영등포구 신길제5동,202301,"4,944","5,264"
1156068000,서울특별시 영등포구 신길제6동,202301,"9,218","9,622"
1156069000,서울특별시 영등포구 신길제7동,202301,"9,822","9,914"
1156070000,서울특별시 영등포구 대림제1동,202301,"7,024","7,105"
1156071000,서울특별시 영등포구 대림제2동,202301,"5,885","6,093"
1156072000,서울특별시 영등포구 대림제3동,202301,"10,909","10,960"
1156000000,서울특별시 서울특별시 영등포구 ,202302,"184,956","191,454"
1156051500,서울특별시 영등포구 영등포본동,202302,"10,746","10,195"
1156053500,서울특별시 영등포구 영등포동,202302,"15,476","14,594"
1156054000,서울특별시 영등포구 여의동,202302,"15,251","17,232"
1156055000,서울특별시 영등포구 당산제1동,202302,"10,077","10,678"
1156056000,서울특별시 영등포구 당산제2동,202302,"17,186","19,552"
1156058500,서울특별시 영등포구 도림동,202302,"8,947","8,766"
1156060500,서울특별시 영등포구 문래동,202302,"15,752","16,524"
1156061000,서울특별시 영등포구 양평제1동,202302,"8,881","9,464"
1156062000,서울특별시 영등포구 양평제2동,202302,"10,917","11,469"
1156063000,서울특별시 영등포구 신길제1동,202302,"9,770","9,557"
1156065000,서울특별시 영등포구 신길제3동,202302,"8,047","8,275"
1156066000,서울특별시 영등포구 신길제4동,202302,"6,113","6,222"
1156067000,서울특별시 영등포구 신길제5동,202302,"4,933","5,253"
1156068000,서울특별시 영등포구 신길제6동,202302,"9,192","9,632"
1156069000,서울특별시 영등포구 신길제7동,202302,"9,867","9,937"
1156070000,서울특별시 영등포구 대림제1동,202302,"6,993","7,060"
1156071000,서울특별시 영등포구 대림제2동,202302,"5,893","6,080"
1156072000,서울특별시 영등포구 대림제3동,202302,"10,915","10,964"
1156000000,서울특별시 서울특별시 영등포구 ,202303,"184,973","191,641"
1156051500,서울특별시 영등포구 영등포본동,202303,"10,759","10,198"
1156053500,서울특별시 영등포구 영등포동,202303,"15,527","14,684"
