bplc_nm,lcpmt_dt,lon,lat
하나복권(하나텔레콤),19891201,126.9246359,37.52169217
양평마트,20000707,126.8853371,37.52614883
대영인터내쇼날,19890325,126.900251,37.52132374
서울통상,19921226,126.9265097,37.52355634
도림구판장,20000111,126.8984504,37.50989076
(주)코리아세븐 영등포3호점,20000814,126.9061337,37.52829831
당산하이퍼마켓,19990604,126.8987207,37.52923866
(주)코리아세븐 양평점,20000814,126.8955061,37.53778658
구내매점,19980512,126.9164749,37.52669956
하동 땅콩상회,19981020,126.9052859,37.52204624
가로매점,20000509,126.9045953,37.5205351
가로판매점,19991220,126.9302997,37.52751923
롯데칠성음료,19970701,126.8939885,37.54094406
희재가게,19980323,126.9044465,37.51522658
에이엠피엠,19971114,126.9095642,37.51178683
영코너,19971204,126.8943985,37.52235041
신문가판대,19981216,126.9172254,37.51702922
형제상회,19970714,126.9097866,37.51438389
미니슈퍼,20000814,126.913628,37.50688651
버스료판매점,19990415,126.9108305,37.5063652
대흥공인중개사,19990226,126.9052923,37.50532292
월드마트,19990622,126.9049548,37.50520266
(주)코리아세븐 신길2호점,20000517,126.9043778,37.50676513
비와이씨매점,19980117,126.9017203,37.48585423
하드앤빈스,19960918,126.9373222,37.52135633
버스포판매소,19961113,126.9357237,37.52399103
공주상회,19971114,126.9185902,37.51495129
동북문구,2000111,126.9289295,37.51967676
가로판매점,20000111,126.9035995,37.5205529
김포상회,20000111,126.902362,37.52085679
아이지에이마트 영등포공원점,20000111,126.9040681,37.52099876
가로판매점,20000111,126.9035995,37.5205529
무,20000111,126.9021309,37.49644534
대오식품,20000111,126.9249947,37.5227046
호식품,20000111,126.907666,37.49920874
기흥식품,20000111,126.9032222,37.49295941
우리쌀지물장식,20000111,126.9006518,37.48778155
무,20000111,126.9026894,37.48917908
다원마트,20000111,126.9036319,37.50284768
가로판매점,20000111,126.9191388,37.52162403
가로판매점,20000111,126.9261806,37.52047178
당산2호,19990524,126.8964127,37.52385595
C$L교역,20000111,126.9284792,37.52032143
에이엠피엠영등포점,20000111,126.9061337,37.52829831
영림슈퍼,20000111,126.9053712,37.52084864
신화슈퍼,20010208,126.9055832,37.52493233
선유식품,20001111,126.8979774,37.5343947
가로판매점,20001111,126.9231978,37.52336404
양미사,20000011,126.891188,37.54285506
CU 당산역한강점,20080213,126.9034144,37.53476062
동양체인슈퍼,20000111,126.9049005,37.53294528
거북슈퍼,20000111,126.9128148,37.52163814
서울식품,20000111,126.9115214,37.52345536
성일문구,20000111,126.9113717,37.5228593
현대상회,20000111,126.9078252,37.52013247
동보약국,20000111,126.9059508,37.51834009
영등포2호점,20000111,126.9075671,37.51766123
현대상가,20000111,126.9097789,37.51958285
경북식품,20000111,126.9106104,37.51919405
정숙식품,20000111,126.8914043,37.5374058
은혜슈퍼,19981023,126.905109,37.5155661
가판점,19931130,126.9083147,37.51681214
한일매점,20000111,126.8943985,37.52235041
신한매점,20000111,126.8943985,37.52235041
성진슈퍼,20000111,126.9024317,37.51995639
강남분식,20000111,126.9022078,37.51902624
GS25 영등포영달점,19960408,126.9045336,37.51623655
구내식당,20000111,126.8963703,37.52596399
서림문구,20000111,126.8965403,37.52671344
한중수퍼,20000111,126.8882844,37.52269856
무,20000111,126.8835381,37.52615889
서울식당,20000111,126.8883735,37.52355538
양남식품,20000111,126.8912146,37.52192414
성진상회,20000111,126.9015263,37.5230746
한양세탁소,20000111,126.8990576,37.52555654
잡화,20000111,126.8993298,37.52319834
양천공인중개사사무소,20000111,126.9111813,37.52194749
나드리,20000111,126.9103787,37.52112916
로타리식품,20000111,126.8889241,37.5169379
내고향슈퍼,20000111,126.8903292,37.516005
한성슈퍼,20000111,126.8998224,37.50811946
부여상회,20000111,126.8976356,37.51069411
영일상회,19990309,126.9040909,37.51479078
아름이네분식,20000111,126.8977514,37.50896518
부흥상회,20000111,126.8932289,37.51344618
한신슈퍼마켓,20000111,126.9399141,37.51966761
성우식품,20000111,126.9084125,37.51864217
충주상회,20000111,126.9022432,37.5088718
대우이발,20000111,126.9050582,37.50896998
서씨네가게,20000111,126.89236,37.51023934
담배판매소,20000111,126.9315023,37.51933961
홍우슈퍼,20000111,126.9337279,37.52272961
한일,19920201,126.9392143,37.51955321
충남상회,20000111,126.9167647,37.51524995
영신상회,20000111,126.9133776,37.51246168
신길상회,20000111,126.9163121,37.51682263
지에스25신길그린점,20000111,126.9167647,37.51524995
한국방송공사공제회,20000111,126.9167117,37.52597188
개미슈퍼,20000111,126.9199482,37.51490964
동아서점,20000111,126.9205114,37.51350014
K-마트,20000111,126.9231657,37.5121998
신선식품,20000122,126.9219948,37.5118197
동산수퍼,20190114,126.9238476,37.51434148
우신문방구,20000111,126.9134336,37.50702889
에리트상회,20000111,126.9300275,37.51963263
삼포석유,20000111,126.9050542,37.52474722
우선식품,20000111,126.91668,37.51250098
영신보석,20000111,126.9169127,37.51048477
약산약국,20000111,126.9144687,37.51131836
조흥상회,20000111,126.9139613,37.51043067
우신문구,20000111,126.9111099,37.50893575
SBS매점,20000111,126.9257756,37.5297939
보훈마트,20000111,126.924184,37.52953615
정우지하매점,20000022,126.9218938,37.52908279
두산B/D 지하매점,20000111,126.9201104,37.5287872
옛날해장국집,20000111,126.9088927,37.49806672
애경문구,20000111,126.8962202,37.49848977
새마을슈퍼,20000111,126.8951916,37.49921902
노벨문구,20000111,126.8985041,37.50315144
태희서점,20000111,126.8960725,37.50238091
삼오사,20000111,126.896616,37.49695267
대전슈퍼,20000111,126.8966729,37.49538538
율촌매점,20000111,126.9272939,37.52488799
가로판매점,20000111,126.930932,37.52681313
대영식품,20000111,126.9048478,37.50245348
죽성식품,20000111,126.9086813,37.49237917
나주슈퍼,20000111,126.899953,37.49226227
지에스(GS)25 대림역점,20000111,126.8954075,37.49376971
가로판매점,20000111,126.9047124,37.51948196
삼구식품,20000111,126.9059818,37.52242211
(주)코리아세븐 여의3호점,20010130,126.9269113,37.52079377
주택식품,20010430,126.9206661,37.51060919
구내매점,20010522,126.9201249,37.53013889
가로매점,20010726,126.9040723,37.51993557
(주)동양마트,20010824,126.9080489,37.51486343
가로판매대,20010917,126.9168146,37.51179039
G마트,20010917,126.9021898,37.49164331
가로판매점,20011010,126.9249908,37.52139805
가로판매대,20011015,126.9300501,37.52201159
가로판매점,20011016,126.9110049,37.51851289
가로판매대,20011022,126.9260273,37.52406555
영등포세무서구내매점,20011102,126.8994703,37.51362157
가로판매점,20011107,126.9373222,37.52135633
씨유 대림중앙점,20011109,126.8977353,37.4992788
가로판매점,20011127,126.92488,37.52518143
현대매점,20011211,126.8943985,37.52235041
대황슈퍼,20011227,126.9125362,37.5127603
(주)코리아세븐 대림2호점,20011229,126.8960402,37.50303837
보광슈퍼,20011229,126.8984321,37.49264458
가로판매점,20011229,126.9016423,37.53446485
엔테코,19990823,126.8972864,37.53214467
(주)코리아세븐 신길점,20020107,126.9019182,37.50634586
동양마트양평한신점,20020109,126.8876565,37.52155734
홈플러스(주)영등포점,20020125,126.8958845,37.51823752
(주)코리아세븐 영등포6호점,20020308,126.9092809,37.51882138
신풍슈퍼,20020308,126.9061833,37.50705216
국민은행휴게실,20020308,126.9278944,37.52086577
씨유 영등포중앙점,20020323,126.9099215,37.51911562
대현마트,20020328,126.8832715,37.51822721
세븐일레븐당산3호점,20020404,126.8991344,37.5210971
우리마트,20020419,126.9184309,37.49931668
럭키슈퍼,20020501,126.9142548,37.51359604
충남슈퍼,20020518,126.9123158,37.51392062
버스판매소,20020601,126.9058356,37.5177083
명지공인중개사,20020619,126.8929157,37.51550664
영지마트,20020906,126.9135839,37.51618489
신풍마트,20021223,126.9096124,37.50612872
훼미리마트당산래미안,20021226,126.9081391,37.52887549
가로판매점,20030108,126.8964955,37.51745932
신성슈퍼,20030108,126.8996889,37.49871131
복권방,20030113,126.9000936,37.50890589
(주)오피스디포코리아 여의도점,20030128,126.921379,37.52869065
동남극장구내매점,20030219,126.9056577,37.520599
가로판매점,20030320,126.8959233,37.49253108
영등포농협 하나로마트,20030502,126.9127208,37.51095089
왕대박,20030530,126.9236211,37.51278061
효성슈퍼마켓,20030604,126.9373222,37.52135633
씨유대림사랑점,20030625,126.8982535,37.50173447
예산상회,20030628,126.8992852,37.52315288
드림마트,20030708,126.9101944,37.51200889
영신슈퍼,20030708,126.9063855,37.52033542
복권방,20030718,126.8971605,37.50299476
코끼리유통,20030726,126.9069337,37.50600487
(주)아워홈국민은행여의도점,20030731,126.9278944,37.52086577
미니스톱 여의도점,20030805,126.9203916,37.52969081
현대할인마트,20030906,126.8948603,37.52402166
(주)한운상사구내매점,20031010,126.9249218,37.52383926
GS25 당산새말점,20031107,126.8976448,37.52161483
세븐일레븐하나텔점,20031220,126.8955251,37.5080704
두산위브부동산,20040109,126.9124911,37.51509359
GS25여의에클라트점,20040115,126.9192694,37.52983373
서울슈퍼,20040120,126.9310534,37.52622855
해성식품,20040220,126.8922038,37.54226089
럭키 7마트,20040227,126.8989866,37.52653802
양지식품,20040309,126.9223712,37.51475153
롯데쇼핑(주) 롯데슈퍼여의점,20040331,126.9324805,37.52214169
현대마트,20040402,126.8967812,37.50494649
화협매점,20040417,126.9259977,37.52138918
씨유 오목교코업점,20040506,126.8830694,37.52572196
씨유문래페르마타점,20040603,126.8837845,37.51720486
유진식품,20040603,126.9045163,37.49804429
