ocrn_dt,dsp_rqr_tm,spt_frstt_dist,spt_sf_cntr_dist,dth_cnt,injpsn_cnt,emd_nm,ign_htsrc_nm,fc_plc_lclas_nm,fc_plc_mclas_nm,fc_plc_sclas_nm,lon,lat
2023-11-24 12:18,0:02:37,3.2,0.7,0,0,신길동,기기(전기/ 기계 등) 사용.설치부주의,의료/복지시설,노유자시설,어린이집,126.9222371,37.50600453
2022-11-05 2:18,0:04:02,3.5,0.5,0,0,신길동,담배꽁초,주거,단독주택,다가구주택,126.9211358,37.50714556
2021-07-14 22:13,0:02:48,3.6,0.3,0,0,신길동,음식물 조리중,주거,단독주택,다가구주택,126.9219722,37.50807595
2023-02-04 16:19,0:04:50,3.0,0.2,0,0,신길동,미상,주거,단독주택,다중주택,126.9213607,37.5090553
2023-12-29 18:26,0:03:13,2.8,0.5,0,0,신길동,담배꽁초,기타,야외,쓰레기,126.9229811,37.51043319
2022-03-02 18:31,0:03:27,2.7,0.7,0,0,신길동,불씨/불꽃/화원방치,생활서비스,음식점,커피숍/다방/카페,126.9220815,37.51112115
2021-05-18 23:28,0:03:11,2.5,0.8,0,0,신길동,절연열화에 의한 단락,교육시설,연구/학원,일반학원,126.9236409,37.51248502
2022-04-14 23:01,0:04:48,2.8,0.4,0,0,신길동,방화,생활서비스,음식점,한식,126.9222547,37.51353397
2021-03-15 21:05,0:00:39,3.1,1.0,0,0,신길동,담배꽁초,주거,공동주택,아파트,126.9117177,37.4971007
2023-11-20 22:57,0:03:31,2.9,0.9,0,0,신길동,음식물 조리중,주거,공동주택,아파트,126.9117177,37.4971007
2023-10-31 1:15,0:03:16,2.5,1.0,0,0,신길동,음식물 조리중,주거,공동주택,아파트,126.908905,37.49714082
2023-11-29 20:58,0:01:28,3.0,0.6,0,0,신길동,담배꽁초,기타,야외,기타야외,126.9092561,37.49908519
2023-10-06 20:36,0:02:12,3.0,0.6,0,0,신길동,절연열화에 의한 단락,생활서비스,음식점,한식,126.909649,37.49909901
2023-06-16 17:22,0:02:47,3.5,1.0,0,0,신길동,담배꽁초,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),126.9118397,37.4992414
2022-03-23 20:17,0:03:09,3.5,0.9,0,0,신길동,접촉불량에 의한 단락,생활서비스,음식점,한식,126.9121123,37.49991114
2022-10-30 9:22,0:04:30,3.1,1.8,0,0,신길동,접촉불량에 의한 단락,자동차/철도차량,자동차,화물자동차,126.9115445,37.50041961
2023-02-14 13:50,0:03:04,3.0,1.0,0,1,신길동,미확인단락,주거,공동주택,아파트,126.9115445,37.50041961
2021-03-07 9:01,0:02:38,3.2,2.0,0,0,신길동,자연발화,생활서비스,음식점,치킨/족발,126.9115445,37.50041961
2022-11-27 23:47,0:02:56,4.2,2.1,0,0,신길동,절연열화에 의한 단락,생활서비스,음식점,한식,126.9154418,37.49698251
2022-05-16 16:37,0:05:00,3.0,1.5,0,0,신길동,과부하/과전류,집합시설,종교시설,수도원,126.9131524,37.49736053
