sft_ct_nm,fac_gbn,instl_ymd,fac_type,plc_gbn,lon,lat
현장대응단,소화전,20000116,지상식,기타,126.8925679,37.51159174
당산119안전센터,소화전,20100121,지상식,상가지역,126.902834,37.53293123
대림119안전센터,소화전,20000122,지상식,소방차진입불가,126.8968096,37.5027664
대림119안전센터,소화전,20000119,지상식,소방차진입불가,126.8984926,37.49359868
대림119안전센터,소화전,20000119,지상식,소방차진입불가,126.902265,37.50365438
신길119안전센터,소화전,20000116,지상식,기타,126.9259742,37.51287259
신길119안전센터,소화전,20000114,지상식,주거지역,126.9236707,37.50951308
현장대응단,소화전,20000703,지상식,소방차진입불가,126.9092877,37.51292637
현장대응단,소화전,20000703,지상식,소방차진입불가,126.893168,37.51190701
당산119안전센터,소화전,20000703,지상식,상가지역,126.8909137,37.52240478
당산119안전센터,소화전,20000703,지상식,상가지역,126.8916153,37.52386226
대림119안전센터,소화전,20000703,지하식(일반),소방차진입불가,126.9045624,37.49684457
대림119안전센터,소화전,20000703,지하식(일반),소방차진입불가,126.9056598,37.4967139
대림119안전센터,소화전,20000703,지하식(일반),기타,126.907538,37.503051
대림119안전센터,소화전,20000703,지하식(일반),주거지역,126.9085548,37.5033416
대림119안전센터,소화전,20000703,지하식(일반),주거지역,126.9090208,37.5015884
대림119안전센터,소화전,20000703,지하식(일반),주거지역,126.9173046,37.50086987
현장대응단,소화전,20011120,지하식(일반),소방차진입불가,126.8890343,37.52081015
현장대응단,소화전,20110407,지하식(일반),주거지역,126.9014372,37.50883709
현장대응단,소화전,20011120,지상식,소방차진입불가,126.9005041,37.51403663
현장대응단,소화전,20011120,지하식(일반),주거지역,126.904324,37.50907336
현장대응단,소화전,20011120,지상식,상가지역,126.8995867,37.50893365
현장대응단,소화전,20011120,지하식(일반),기타,126.9136605,37.51839657
현장대응단,소화전,20011120,지하식(일반),주거지역,126.9103782,37.50767146
현장대응단,소화전,20011120,지하식(일반),주거지역,126.9098058,37.5080499
현장대응단,소화전,20011120,지상식,화재경계지역,126.9044808,37.51532916
현장대응단,소화전,20011120,지상식,기타,126.9013363,37.51893356
현장대응단,소화전,20011120,지하식(일반),기타,126.9036957,37.5241433
여의도119안전센터,소화전,20011120,지상식,소방차진입불가,126.9270048,37.51747195
여의도119안전센터,소화전,20011120,지상식,소방차진입불가,126.9241232,37.51893021
여의도119안전센터,소화전,20011120,지상식,소방차진입불가,126.93017,37.5175122
여의도119안전센터,소화전,20011120,지상식,소방차진입불가,126.9327114,37.51875341
여의도119안전센터,소화전,20011120,지상식,소방차진입불가,126.9206805,37.52033261
여의도119안전센터,소화전,20011120,지상식,소방차진입불가,126.9206805,37.52033261
여의도119안전센터,소화전,20011120,지하식(일반),상가지역,126.9291128,37.52519132
여의도119안전센터,소화전,20011120,지상식,기타,126.9248767,37.52517752
여의도119안전센터,소화전,20011120,지상식,소방차진입불가,126.9242856,37.52294518
당산119안전센터,소화전,20011120,지상식,상가지역,126.8864216,37.5248857
당산119안전센터,소화전,20011120,지하식(일반),주거지역,126.8861138,37.52712448
당산119안전센터,소화전,20011120,지상식,주거지역,126.8835514,37.52614655
당산119안전센터,소화전,20011120,지하식(일반),공업지역,126.8937053,37.53464068
당산119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.8958797,37.53243219
당산119안전센터,소화전,20011120,지하식(일반),주거지역,126.8955109,37.53778804
당산119안전센터,소화전,20011120,지하식(일반),주거지역,126.8975091,37.53776438
당산119안전센터,소화전,20011120,지하식(일반),주거지역,126.8909878,37.54254663
당산119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.8917274,37.53681506
당산119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.8915492,37.5380792
당산119안전센터,소화전,20011120,지하식(일반),기타,126.8995159,37.52285994
당산119안전센터,소화전,20011120,지상식,주거지역,126.8934995,37.52104032
당산119안전센터,소화전,20011120,지하식(일반),기타,126.897815,37.52243465
당산119안전센터,소화전,20011120,지하식(일반),주거지역,126.8921454,37.5242818
당산119안전센터,소화전,20011120,지하식(일반),상가지역,126.897158,37.52710181
당산119안전센터,소화전,20011120,지하식(일반),주거지역,126.898149,37.52445706
당산119안전센터,소화전,20011120,지하식(일반),주거지역,126.8988653,37.52915991
당산119안전센터,소화전,20011120,지하식(일반),주거지역,126.9057735,37.53372965
대림119안전센터,소화전,20011120,지상식,주거지역,126.9115445,37.50041961
대림119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.902818,37.50268986
대림119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9026087,37.5034641
대림119안전센터,소화전,20170908,지하식(일반),상가지역,126.8992013,37.49863753
대림119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9078935,37.49706264
대림119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9054272,37.4966975
대림119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9061642,37.49587835
대림119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9063138,37.49817766
대림119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9056566,37.4990048
대림119안전센터,소화전,20011120,지하식(일반),화재경계지역,126.9002259,37.49081992
대림119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9015222,37.49138846
대림119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9002367,37.4900855
대림119안전센터,소화전,20011120,지상식,상가지역,126.8968596,37.49323199
대림119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.8964624,37.49388226
대림119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.898603,37.48940503
신길119안전센터,소화전,20011120,지상식,상가지역,126.9221345,37.51062229
신길119안전센터,소화전,20011120,지상식,소방차진입불가,126.913805,37.51166186
신길119안전센터,소화전,20011120,지하식(일반),소방차진입곤란,126.9168463,37.50934116
신길119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9152985,37.50967235
신길119안전센터,소화전,20011120,지하식(일반),소방차진입곤란,126.9162847,37.51039493
신길119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9168864,37.51295034
신길119안전센터,소화전,20011120,지상식,소방차진입불가,126.9120253,37.50539595
신길119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9147136,37.51054437
신길119안전센터,소화전,20011120,지상식,소방차진입불가,126.9112675,37.50643091
현장대응단,소화전,20011120,지하식(일반),주거지역,126.9094875,37.51094314
현장대응단,소화전,20011120,지상식,상가지역,126.8998717,37.51933057
현장대응단,소화전,20011120,지하식(일반),화재경계지역,126.8953332,37.51364013
현장대응단,소화전,20011120,지하식(일반),기타,126.9019621,37.52267847
여의도119안전센터,소화전,20011120,지상식,소방차진입불가,126.925196,37.51811729
당산119안전센터,소화전,20011120,지하식(일반),주거지역,126.8993905,37.52788364
당산119안전센터,소화전,20011120,지하식(일반),주거지역,126.8991382,37.52817004
현장대응단,소화전,20011120,지하식(일반),상가지역,126.9018025,37.51437739
신길119안전센터,소화전,20011120,지상식,소방차진입불가,126.912211,37.51086555
신길119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9143508,37.51022993
현장대응단,소화전,20011120,지상식,소방차진입불가,126.8918138,37.52050116
신길119안전센터,소화전,20011120,지하식(일반),소방차진입불가,126.9140756,37.50535682
신길119안전센터,소화전,20011120,지하식(일반),주거지역,126.922236,37.509599
대림119안전센터,소화전,20020621,지하식(일반),주거지역,126.9021825,37.50278232
현장대응단,소화전,20020621,지하식(일반),주거지역,126.8861402,37.51657016
신길119안전센터,소화전,20020621,지하식(일반),소방차진입곤란,126.9188223,37.51343886
신길119안전센터,소화전,20020621,지하식(일반),소방차진입불가,126.9108672,37.50982217
당산119안전센터,소화전,20020621,지하식(일반),주거지역,126.8981543,37.53514799
당산119안전센터,소화전,20020621,지상식,상가지역,126.8900825,37.5240655
현장대응단,소화전,20020621,지하식(일반),소방차진입불가,126.9150353,37.51730366
현장대응단,소화전,20020621,지하식(일반),소방차진입불가,126.9133287,37.52151326
현장대응단,소화전,20020621,지상식,소방차진입불가,126.8954479,37.51228972
신길119안전센터,소화전,20020621,지하식(일반),소방차진입불가,126.9136628,37.50790231
현장대응단,소화전,20020621,지상식,상가지역,126.8975368,37.51474642
당산119안전센터,소화전,20020621,지하식(일반),주거지역,126.8927807,37.52326118
현장대응단,소화전,20020621,지하식(일반),소방차진입불가,126.8923232,37.51171685
현장대응단,소화전,20030905,지하식(일반),소방차진입불가,126.8955016,37.51107071
현장대응단,소화전,20030905,지하식(일반),소방차진입불가,126.8922883,37.51204992
현장대응단,소화전,20030905,지상식,소방차진입불가,126.8949779,37.52000721
현장대응단,소화전,20030905,지상식,상가지역,126.8875455,37.51575358
현장대응단,소화전,20030905,지상식,소방차진입불가,126.8833136,37.51938718
현장대응단,소화전,20030905,지하식(일반),주거지역,126.9001766,37.51039494
현장대응단,소화전,20030905,지하식(일반),주거지역,126.8977544,37.50827308
현장대응단,소화전,20030905,지하식(일반),소방차진입불가,126.9094486,37.5126615
현장대응단,소화전,20031013,지상식,기타,126.9120519,37.51792164
현장대응단,소화전,20031013,지상식,기타,126.9108417,37.52273974
현장대응단,소화전,20031013,지하식(일반),기타,126.9042579,37.52202983
현장대응단,소화전,20031013,지상식,소방차진입불가,126.8890592,37.5265766
현장대응단,소화전,20031013,지상식,기타,126.9076019,37.52555081
현장대응단,소화전,20031013,지하식(일반),주거지역,126.9077751,37.5088168
여의도119안전센터,소화전,20031013,지상식,소방차진입불가,126.9325976,37.51753105
여의도119안전센터,소화전,20031013,지상식,소방차진입불가,126.9401255,37.5197159
여의도119안전센터,소화전,20031013,지하식(일반),상가지역,126.9291128,37.52519132
여의도119안전센터,소화전,20031013,지상식,소방차진입불가,126.9259953,37.5213851
당산119안전센터,소화전,20031013,지하식(일반),주거지역,126.8995372,37.53625965
당산119안전센터,소화전,20031013,지하식(일반),공업지역,126.8923228,37.5347015
당산119안전센터,소화전,20031013,지상식,주거지역,126.9013118,37.5158452
당산119안전센터,소화전,20031013,지상식,주거지역,126.8875629,37.5250938
당산119안전센터,소화전,20031013,지하식(일반),상가지역,126.8896645,37.52424032
당산119안전센터,소화전,20031013,지하식(일반),주거지역,126.8886982,37.52617936
당산119안전센터,소화전,20031013,지하식(일반),주거지역,126.8976584,37.52690943
당산119안전센터,소화전,20031013,지상식,상가지역,126.8928591,37.52088603
당산119안전센터,소화전,20031013,지상식,상가지역,126.9001711,37.52711773
대림119안전센터,소화전,20031013,지상식,소방차진입불가,126.905842,37.49545723
대림119안전센터,소화전,20031013,지상식,화재경계지역,126.9087759,37.49324892
대림119안전센터,소화전,20031013,지상식,소방차진입불가,126.904552,37.49013413
당산119안전센터,소화전,20031013,지하식(일반),주거지역,126.8883743,37.52720953
대림119안전센터,소화전,20031129,지하식(일반),소방차진입불가,126.900547,37.49235109
대림119안전센터,소화전,20031129,지하식(일반),소방차진입불가,126.9037272,37.48979964
대림119안전센터,소화전,20031129,지상식,주거지역,126.8960548,37.49840793
대림119안전센터,소화전,20031129,지상식,소방차진입불가,126.8989158,37.49963587
대림119안전센터,소화전,20031129,지상식,소방차진입불가,126.8991077,37.49741019
대림119안전센터,소화전,20031129,지상식,소방차진입불가,126.9148642,37.49988342
대림119안전센터,소화전,20031129,지상식,소방차진입불가,126.9179355,37.49980063
대림119안전센터,소화전,20031129,지상식,상가지역,126.910524,37.50271478
신길119안전센터,소화전,20031129,지하식(일반),주거지역,126.9225924,37.50950391
신길119안전센터,소화전,20031129,지하식(일반),주거지역,126.9227987,37.51057336
신길119안전센터,소화전,20031129,지하식(일반),주거지역,126.9245443,37.5124407
