carpark_nm,carpark_gbn,carpark_type,slots,lon,lat
영등포본동제1 공영주차장,공영,노외,194.0,126.909151,37.514358
영등포동제1 공영주차장,공영,노외,34.0,126.910054,37.52074776
영등포동제2 공영주차장,공영,노외,28.0,126.908767,37.523664
당산1동 공영주차장,공영,노외,91.0,126.9000061,37.523768
당산2동 공영주차장,공영,노외,31.0,126.907755,37.5282536
도림동 공영주차장,공영,노외,26.0,126.8967334,37.50820335
문래동 공영주차장,공영,노외,52.0,126.8878482,37.516205
양평2동청사 공영주차장,공영,노외,93.0,126.8940377,37.53650136
영등포본동제2공영주차장,공영,노외,61.0,126.914068,37.51332414
신길4동공영주차장,공영,노외,23.0,126.912013,37.505356
신길6동공영주차장,공영,노외,129.0,126.911147,37.50247028
대림1동공영주차장,공영,노외,155.0,126.901609,37.49314271
대림2동공영주차장,공영,노외,151.0,126.899931,37.49160959
대림3동공영주차장,공영,노외,99.0,126.900422,37.49799341
신길환승(5호선)공영주차장,공영,노외,111.0,126.9151695,37.51770759
영등포구청환승공영주차장,공영,노외,66.0,126.8955205,37.524747
도림초교공영주차장,공영,노외,145.0,126.9072907,37.50750302
대림어린이공원공영주차장,공영,노외,198.0,126.9030162,37.49133176
신길4동1동1마을공원공영주차장,공영,노외,130.0,126.911655,37.50715227
영등포여고공영주차장,공영,노외,98.0,126.9153554,37.515377
당산근린공원공영주차장,공영,노외,190.0,126.895135,37.5252165
대림운동장공영주차장,공영,노외,98.0,126.8939948,37.49967021
영등포동제3공영주차장,공영,노외,172.0,126.903716,37.51723371
신길1동공영주차장,공영,노외,13.0,126.918608,37.510415
신길7동공영주차장,공영,노외,17.0,126.922235,37.508444
문래근린공원공영주차장,공영,노외,41.0,126.8936472,37.51512033
신길5동공영주차장,공영,노외,26.0,126.904818,37.502098
별관청사공영주차장,공영,노외,61.0,126.894421,37.5286217
경부제3녹지 공영주차장,공영,노외,143.0,126.9241035,37.51316522
양평유수지 공영주차장,공영,노외,397.0,126.8909800645,37.5287533941
국민일보사옥앞,공영,노상,15.0,126.924459274798,37.5293331933466
여의도호텔(舊세우빌딩)앞,공영,노상,7.0,126.926011693308,37.5304247802065
정우빌딩옆(舊렉싱턴호텔),공영,노상,11.0,126.922195547722,37.5291635030463
중소기업중앙회앞,공영,노상,5.0,126.921811960435,37.5284544706127
동아빌딩앞,공영,노상,9.0,126.920345443564,37.5291213458104
국민은행앞,공영,노상,13.0,126.918781143173,37.5287838050324
산업은행앞(무인),공영,노상,10.0,126.920051869196,37.5273534117675
KBS본관앞 우측(무인),공영,노상,25.0,126.91831201361,37.5251256704849
KBS본관앞 좌측,공영,노상,25.0,126.917113395704,37.5263377734968
KBS본관뒤,공영,노상,39.0,126.915708657076,37.5240146920901
여의도공원앞1(무인),공영,노상,14.0,126.917463865988,37.5240400394193
수정아파트 옆,공영,노상,36.0,126.930248654051,37.5245145970196
월드비전앞(舊신흥증권앞),공영,노상,10.0,126.926816322222,37.5242592855051
금융투자교육원 앞(舊경호빌딩),공영,노상,9.0,126.925963365501,37.5236157766075
유수홀딩스빌딩옆 (舊한진해운앞),공영,노상,17.0,126.924918066054,37.5232338410806
한국거래소앞(반무인),공영,노상,30.0,126.929007558461,37.5227850771476
화재보험협회앞,공영,노상,22.0,126.926118610333,37.5209000748972
여의도백화점앞,공영,노상,13.0,126.927391104631,37.5207387537785
롯데캐슬엠파이어앞,공영,노상,9.0,126.926785481268,37.5203767956164
홍우빌딩앞,공영,노상,9.0,126.930366751692,37.5210047845608
태양빌딩앞,공영,노상,10.0,126.92950796426,37.5208745455334
호성빌딩앞,공영,노상,17.0,126.928910186403,37.5203740805162
경도상가앞,공영,노상,15.0,126.930560854929,37.5198108951692
KBS별관옆,공영,노상,18.0,126.930016701551,37.5192182542849
KBS별관뒤,공영,노상,26.0,126.928396438669,37.5188279015618
진주아파트옆,공영,노상,31.0,126.93219459188,37.5183199652342
"중마루공원앞
(민간 위탁 운영)",공영,노상,24.0,126.910602,37.52004
도림고가밑,공영,노상,38.0,126.897652014728,37.5120246408516
대신시장앞,공영,노상,16.0,126.917416893482,37.5116428247607
성애병원앞,공영,노상,15.0,126.922853569071,37.5116452940017
당산1동 01구역,거주자우선,구간,,126.89477601985,37.5280250438609
당산1동 01구역,거주자우선,구간,,126.894804236355,37.5280723715729
당산1동 01구역,거주자우선,구간,,126.894849419513,37.5281219668886
당산1동 01구역,거주자우선,구간,,126.894883305341,37.5281602896142
당산1동 01구역,거주자우선,구간,,126.894905884325,37.5281940972618
당산1동 01구역,거주자우선,구간,,126.894942582719,37.5282436849904
당산1동 01구역,거주자우선,구간,,126.894976462334,37.52828651269
당산1동 01구역,거주자우선,구간,,126.89500186023,37.5283270803358
당산1동 01구역,거주자우선,구간,,126.895038574534,37.5283654055302
당산1동 01구역,거주자우선,구간,,126.895058322187,37.5284014631347
당산1동 01구역,거주자우선,구간,,126.895092211402,37.5284375332982
당산1동 01구역,거주자우선,구간,,126.895123262879,37.5284803584422
당산1동 01구역,거주자우선,개별,,126.893898172224,37.5267876338706
당산1동 01구역,거주자우선,개별,,126.893920718454,37.526843966725
당산1동 01구역,거주자우선,개별,,126.893849395844,37.5252829171327
당산1동 01구역,거주자우선,개별,,126.893792822474,37.525289623786
당산1동 01구역,거주자우선,개별,,126.893996488791,37.5252639029559
당산1동 01구역,거주자우선,개별,,126.894429285798,37.5252045992396
당산1동 01구역,거주자우선,개별,,126.894488699924,37.5251888848004
당산1동 01구역,거주자우선,개별,,126.894604677733,37.5251732208213
당산1동 01구역,거주자우선,구간,,126.894771562823,37.5251576020962
당산1동 01구역,거주자우선,구간,,126.894890368709,37.5251419403561
당산1동 01구역,거주자우선,구간,,126.895177071117,37.5243876060339
당산1동 01구역,거주자우선,구간,,126.895137467477,37.5243943283928
당산1동 01구역,거주자우선,구간,,126.895106351452,37.5243988057718
당산1동 01구역,거주자우선,구간,,126.895075244888,37.524396525636
당산1동 01구역,거주자우선,구간,,126.895049782017,37.5244032605272
당산1동 01구역,거주자우선,구간,,126.89502149414,37.524407740397
당산1동 01구역,거주자우선,구간,,126.894990374946,37.5244144702476
당산1동 01구역,거주자우선,구간,,126.894959246272,37.5244279575965
당산1동 01구역,거주자우선,구간,,126.894925298906,37.5244346849146
당산1동 01구역,거주자우선,구간,,126.894888520217,37.5244436622081
당산1동 01구역,거주자우선,구간,,126.895261906345,37.5243944388125
당산1동 01구역,거주자우선,구간,,126.895130783294,37.5251286390438
당산1동 01구역,거주자우선,구간,,126.895246764027,37.5251107219318
당산1동 01구역,거주자우선,구간,,126.8953797138,37.5250928197386
당산1동 01구역,거주자우선,구간,,126.895456093587,37.5250793723443
당산1동 01구역,거주자우선,구간,,126.895682392057,37.5250480373746
당산1동 01구역,거주자우선,구간,,126.895755937295,37.5250390922921
당산1동 01구역,거주자우선,구간,,126.8958125197,37.5250256271915
당산1동 01구역,거주자우선,구간,,126.895883242982,37.5250121745307
당산1동 01구역,거주자우선,구간,,126.895956788162,37.525003229323
당산1동 01구역,거주자우선,구간,,126.896013357998,37.5249987741342
당산1동 01구역,거주자우선,구간,,126.896183083073,37.524974145895
당산1동 01구역,거주자우선,구간,,126.895071240002,37.5252367063843
당산1동 01구역,거주자우선,구간,,126.895088101882,37.5253133065224
당산1동 01구역,거주자우선,구간,,126.895104973258,37.5253831491518
당산1동 01구역,거주자우선,구간,,126.895124657095,37.5254642567984
당산1동 01구역,거주자우선,구간,,126.895135875293,37.5255318418969
당산1동 01구역,거주자우선,구간,,126.895147102969,37.5255926694884
당산1동 01구역,거주자우선,구간,,126.895163980767,37.5256580071027
당산1동 01구역,거주자우선,구간,,126.895178058752,37.5257030696885
당산1동 01구역,거주자우선,구간,,126.895248307201,37.52602974516
당산1동 01구역,거주자우선,구간,,126.895667703955,37.5274717190291
당산1동 01구역,거주자우선,구간,,126.895710065322,37.5275168065202
당산1동 01구역,거주자우선,구간,,126.895749585926,37.5275709015036
당산1동 01구역,거주자우선,구간,,126.8958004009,37.5276385214612
당산1동 01구역,거주자우선,구간,,126.895839924764,37.5276903639124
당산1동 01구역,거주자우선,구간,,126.895876636056,37.5277309413516
당산1동 01구역,거주자우선,구간,,126.896023440975,37.5279225335042
당산1동 01구역,거주자우선,구간,,126.896057321063,37.5279653608968
당산1동 01구역,거주자우선,구간,,126.896088376022,37.5280059332901
당산1동 01구역,거주자우선,구간,,126.893047680485,37.5262192356953
당산1동 01구역,거주자우선,구간,,126.892948666867,37.5262371660234
당산1동 01구역,거주자우선,구간,,126.89286097255,37.5262506015289
당산1동 01구역,거주자우선,구간,,126.892787422557,37.5262617973058
당산1동 01구역,거주자우선,구간,,126.892677105593,37.5262729596319
당산1동 01구역,거주자우선,구간,,126.892448446087,37.5259754210576
당산1동 01구역,거주자우선,구간,,126.89245687253,37.526015973809
당산1동 01구역,거주자우선,구간,,126.892186955323,37.5249097479907
당산1동 01구역,거주자우선,구간,,126.892200995725,37.5249795884536
당산1동 01구역,거주자우선,구간,,126.892212224177,37.5250381638242
당산1동 01구역,거주자우선,구간,,126.892229086328,37.5251125118668
당산1동 01구역,거주자우선,개별,,126.892386561851,37.5257411042297
당산1동 01구역,거주자우선,개별,,126.892400612299,37.5258041871552
당산1동 01구역,거주자우선,개별,,126.892417500686,37.5258605151503
